Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,357.0,41124
2025-02,328.0,39822
2025-03,345.0,38741
2025-04,366.0,37736
2025-05,355.0,39699
2025-06,291.0,39278
2025-07,319.0,38333
2025-08,312.0,39099
2025-09,392.0,38166
2025-10,521.0,37503
2025-11,571.0,38772
2025-12,481.0,37999
