Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,76.0,3485
2025-02,64.0,4258
2025-03,79.0,3399
2025-04,78.0,3532
2025-05,76.0,3413
2025-06,62.0,3898
2025-07,64.0,3369
2025-08,72.0,3099
2025-09,84.0,3992
2025-10,113.0,4048
2025-11,120.0,3583
2025-12,108.0,3355
