Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,530.0,45274
2025-02,500.0,42543
2025-03,533.0,43170
2025-04,491.0,44736
2025-05,486.0,44278
2025-06,456.0,43982
2025-07,486.0,43331
2025-08,428.0,44293
2025-09,557.0,43429
2025-10,747.0,41942
2025-11,768.0,43104
2025-12,701.0,43650
