Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,168.0,13914
2025-02,161.0,13300
2025-03,155.0,13100
2025-04,157.0,12546
2025-05,165.0,12245
2025-06,131.0,13443
2025-07,152.0,12834
2025-08,134.0,12417
2025-09,177.0,12487
2025-10,248.0,12889
2025-11,230.0,12786
2025-12,213.0,13217
