Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,437.0,62009
2025-02,428.0,63888
2025-03,448.0,63575
2025-04,456.0,62032
2025-05,466.0,62157
2025-06,367.0,60780
2025-07,385.0,62457
2025-08,405.0,62578
2025-09,468.0,64652
2025-10,649.0,64593
2025-11,631.0,64276
2025-12,587.0,63465
