Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,303.0,28221
2025-02,267.0,29425
2025-03,293.0,28006
2025-04,294.0,28336
2025-05,288.0,29109
2025-06,252.0,27416
2025-07,267.0,29554
2025-08,248.0,27163
2025-09,317.0,27258
2025-10,420.0,27663
2025-11,436.0,26749
2025-12,403.0,27475
