Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,460.0,71339
2025-02,443.0,73791
2025-03,444.0,70172
2025-04,433.0,69862
2025-05,445.0,70373
2025-06,369.0,75033
2025-07,411.0,72663
2025-08,374.0,71144
2025-09,485.0,69808
2025-10,673.0,70943
2025-11,655.0,73658
2025-12,609.0,74048
