Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,383.0,17728
2025-02,378.0,17171
2025-03,387.0,16645
2025-04,378.0,17581
2025-05,363.0,17741
2025-06,340.0,17215
2025-07,352.0,17568
2025-08,306.0,16014
2025-09,392.0,18358
2025-10,559.0,17840
2025-11,556.0,17050
2025-12,482.0,16445
