Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,504.0,60713
2025-02,487.0,60565
2025-03,476.0,61168
2025-04,477.0,60810
2025-05,450.0,62380
2025-06,405.0,62889
2025-07,435.0,63341
2025-08,435.0,61223
2025-09,494.0,62789
2025-10,683.0,61515
2025-11,710.0,59940
2025-12,669.0,60477
