Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,1159.0,45744
2025-02,1120.0,47306
2025-03,1123.0,46756
2025-04,1092.0,46552
2025-05,1083.0,45186
2025-06,939.0,46665
2025-07,1019.0,45739
2025-08,1001.0,45946
2025-09,1182.0,46099
2025-10,1590.0,45225
2025-11,1672.0,46390
2025-12,1466.0,47072
