Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,240.0,16829
2025-02,242.0,17797
2025-03,234.0,16220
2025-04,245.0,16279
2025-05,241.0,16773
2025-06,185.0,17139
2025-07,217.0,15125
2025-08,217.0,18744
2025-09,242.0,15679
2025-10,330.0,17329
2025-11,326.0,16196
2025-12,306.0,15733
