Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,96.0,10115
2025-02,100.0,9636
2025-03,90.0,9998
2025-04,81.0,9199
2025-05,97.0,10188
2025-06,80.0,9025
2025-07,84.0,9834
2025-08,71.0,8583
2025-09,105.0,9439
2025-10,125.0,11284
2025-11,135.0,9734
2025-12,124.0,9218
