Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,371.0,45207
2025-02,345.0,45833
2025-03,354.0,48421
2025-04,357.0,45634
2025-05,370.0,45451
2025-06,308.0,47601
2025-07,320.0,46832
2025-08,314.0,47026
2025-09,379.0,45443
2025-10,518.0,46234
2025-11,550.0,47384
2025-12,530.0,47800
