Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,430.0,58672
2025-02,399.0,56890
2025-03,372.0,57279
2025-04,411.0,57570
2025-05,406.0,57999
2025-06,350.0,57347
2025-07,383.0,58340
2025-08,376.0,58109
2025-09,464.0,58811
2025-10,591.0,58725
2025-11,627.0,57773
2025-12,565.0,56736
