Sign_Up_Month,Predicted_Advertiser_Count,Predicted_Average_Budget
2025-01,402.0,29209
2025-02,389.0,30359
2025-03,388.0,29771
2025-04,383.0,29798
2025-05,366.0,29864
2025-06,320.0,29538
2025-07,392.0,29489
2025-08,352.0,31660
2025-09,411.0,30149
2025-10,583.0,31104
2025-11,596.0,29459
2025-12,546.0,30159
